Question,Answer,Not Helpful,Helpful
How can I remove water from a drowned person?,"First, check to see if the person is breathing. Place your ear next to his mouth to listen for breathing. Look at the chest to see if it is rising and falling due to breathing. If you cannot see or hear breathing, check the person's pulse. Place your two first fingers on the wrist or neck to find a pulse. Hold there for 10 seconds. If you cannot detect a pulse, begin CPR. Place the heel of your hand in the center of the person's chest, in line with the nipples. Make sure not to press on the ribs. Begin chest compression by pressing down at the rate of at least 100 pulses per minute. Complete 30 compressions, and allow several seconds between pulses to allow the chest to rise. Check for breathing. If the person is not breathing, start CPR again. It is a good idea to take CPR classes through your local Red Cross so that you can practice this technique.
",9,43
What if the person I am trying to help wouldn't want me to touch her chest? ,It is more important to save the person's life than to worry about touching her chest if you are applying first aid. ,14,33
How do I get rid of a nose bleed?,"Keep the person quiet.  Walking, talking, and blowing the nose will  increase the bleeding. Sit down and lean forward. Do not lean back, as the blood may flow down your throat and cause you to choke. Press on the bleeding nostril with a clean cloth/tissue. Keep the pressure on the nose for about 15 minutes. ",7,17
When should someone be placed in a stable side position?,"If they begin to vomit or they have foam around their mount, turn them on their side so that they don't choke on their own vomit.",0,2
How do I help someone who was bitten by a venomous animal?,"Keep them calm and put a tourniquet above the bite. If possible, find and capture the animal that bit the person (snake, spider, etc.) so medical professionals will best know how to treat them. If you cannot do this safely, then don't attempt to! Call 911 and try to keep the person alert and talking until help arrives.",0,1
Should I wash a dog bite with soap and water?,"Yes, wash it with soap and water and apply an antibiotic ointment and a bandage. Watch the wound for signs of infection and call your doctor if you're concerned.",1,1
Why isn't the child's throat checked for objects before compression is started?,You're not supposed to check the throat; you tilt up the chin to open the airway.,4,5
What is the rate of compression in CPR?,"First, tap the child's collarbone to make sure they are not just trying to be funny and joke around. Second, call 911, or have someone with you call them. Then, do 100 beats per minute using your two forefingers (for infant) or one heel of the hand (for child) below the sternum.",7,6
Why do I have to put a patient into the recovery position and what will happen if I don't do that?,"It helps with the breathing and in the case that he gets sick, it keeps him from swallowing his own vomit and choking on it. ",0,20
Why do we need to survey the scene?,"To make sure that the victim is not in any dangerous situations, such as still being on a road where cars are passing all the time, or near live wires that could electrocute them or any rescuers. If they are, then you need to pull them out of the situation, if it is safe for you to do so. If you don't do this, you could be a victim yourself and/or you could hurt the victim more and make them worse. However, if it is too dangerous for you to help, then you will need to consider what can best be done given the context.",6,49
How would I check for breathing?,"Look to see if the chest rising and falling. Try to feel if there is air coming in and out of the person's nose or mouth. Listen for coughing, gasping, rasping, etc. All of these are signs of breathing. ",6,48
Why do we tilt the victims head back when carrying out CPR?,"The air must reach the person's lungs. Imagine the airway as a hose. If the person's head is bent, it may kink the trachea/windpipe and stop the flow of air. When you tilt the head back, you are straightening the pipe.",3,26
"What if the person is bleeding from a stab wound on the chest? If the bleeding hasn't stopped, is it still safe to use the AED?","It depends entirely on whether or not the foreign item is still in the body, and where the wound is. I would say it's probably unsafe to even perform compressions at that point.",1,15
"If the victim has been perspiring and is damp all over, is it safe to use the AED?","Yes, you can still use an AED. If you are very concerned with moisture, then wipe the area over the chest with a dry towel or article of clothing. The most important thing is to be away from the person when delivering a shock.",12,46
Where can I purchase an AED? How much do they usually cost and would insurance cover it?,"Insurance would most likely not cover an AED.  To purchase one, you can look at the big online medical stores.  If you are in Canada, look at sands.ca.  If you are in the USA, just look on Google for bulk medical equipment.  They will cost around $1000-2000.",7,28
How do I remove vomit from the mouth?,Use two gloved-enclosed fingers to reach inside the mouth and pull the tongue forward along with using them as a scoop to drag any vomit/other substances out of the mouth. Also perform Heimlich to remove anything the victim may be choking on then use fingers again to be sure.,8,26
Should I remove any piercings the patient may have when using a AED?,"You don't necessarily have to remove them, but you should place the AED pads at least 1 to 2 inches away from the piercings. ",5,17
What are the differences in technique when performing CPR on a child or an infant?,"When performing CPR on a child or Infant, you should be using only the heel or fingers of one hand, and give smaller breaths instead of full ones. This way, you don't risk popping the child/infant's lungs or breaking their ribs.",2,7
How do I know when to seek medical attention?,"If you think your baby is choking, seek medical attention immediately. ",0,4
How do I know if the baby spit out the object?,You should see it fly out of the mouth or that the baby is breathing normally again.,0,2
The moment my son wakes up from a deep sleep he has a fit and has a hard time breathing. What can I do?,My son and Grandson would lose their breath when upset and had a hard time getting their breath back again. We learned to just blow air in their mouth quickly and doctors said it was a tantrum. Your son's episodes sound different. I think you should discuss this with his doctor promptly to find out what is going on.,0,0
What should I do about a deep cut?,"A deep cut should be seen by your physician. A deep cut over the knee can involve the underlying bone or the joint capsule, which is more serious than a simple skin injury.",0,13
"What if the scrape is on top of the knee, pus is coming out, and I can't bend my knee?","When pus is coming out of a wound by the knee, the wound is likely infected. If the knee cannot bend, this can be due to infection or a fracture commonly. In both cases, the problem should be seen by a doctor emergently to determine the specific treatment.",8,14
"What if I fell and scraped my knees and then fell again a week later, scarring both of them again?","Try following the same steps. If you do have a chance to heal it before it has scarred, wash daily, use Neosporin, and frequently change into clean bandages.",6,33
How long does it usually take for a skinned knee to heal? And is it supposed to hurt still beyond the day you skin it?,"First off, after you bandage it, a scab forms over the wound pretty quickly. The scab falls off in its own time, when the skin underneath has healed. Sometimes when you bend your knee or wash the area over the next few days it may sting a little but if it hurts a lot, you may need to see a doctor.",1,11
Can I bend it?,"If you mean bending your knee, doing so won't make anything worse, but it may hurt.",5,25
I scraped my knee today and I can see the meat. What should I do?,Get medical attention immediately so they can show you how to clean it and to avoid infection.,2,13
The area where my knee was scraped is greenish red. Is that normal?,"The green color indicates the blood is clotting. Once it is somewhat completely green or blue, it should hurt a little while (three to four days or so), but will go back to normal eventually.",3,15
Can I stitch my knee at home?,"You shouldn't do it yourself, going to the hospital or a doctor is a better solution.",13,28
Following these steps made my skinned knee turn white. Why? ,"Your skinned knee may be developing scar tissue, which is often white in color. If the whiteness is accompanied by pus or discharge, see your doctor. ",1,6
Can my child still play sports with a skinned knee?,"It depends on the severity of the wound. If the wound is deep or your child's knee hurts a lot, keep them home from sports until it improves. If the wound is superficial and does not hurt, it is fine to play sports as long as you cover the knee to make sure no dirt or germs can get into the wound and irritate it. ",6,12
What would you do for an elderly person with osteoporosis?,"You can do the Heimlich maneuver carefully, although there is a high risk of breaking some ribs in that situation. However, choking will kill the patient in a few minutes if not treated. ",2,10
Won't rescue breaths just push the object deeper inside?,Not necessarily. It's just air; it's not that powerful. And the rescue breaths would be more important if they weren't breathing. The benefits outweigh the risks.,4,17
Why should I stop the Heimlich if the victim falls unconscious?,"The person is not conscious, so he/she can't spit it out or get air in to help push it out.",1,6
What happens if part of the choking object has entered the lungs?,"Lift the person's chin up to open the airway as much as possible, and then call 911 or take the person to the hospital. ",0,3
Are I supposed to stick my finger down a persons throat if they are choking?,No! That is very dangerous! Doing so could push the foreign object further down the trachea.,8,16
How do I help a person who is choking in his sleep?,Try to wake the person up and call 911 for help. ,2,6
What if you just drink water?,"Usually when you are choking, the object is lodged in your airpipe, and drinking water won't have any effect. But if you're having trouble swallowing something, drink water.",0,1
Is having reduced motor functions in one arm a sign of a mini stroke?,"Reduced motor function in an arm can be a sign of a stroke. If it resolves quickly then it is a mini stroke.

In either case, this is a serious symptom that needs 911, and to be seen in the Emergency Department at the hospital for rapid workup and treatment.",1,3
When I look in the mirror one side of my face is sagging lower than the other.  Is it possible I had a stroke and don't realize it?,"A facial droop, also known as Bell's palsy, as you are describing can be from multiple causes, including a stroke, ear infections, a tumor, Lyme disease, a herpes infection, autoimmune issues as well as many other causes. It is possible you had a stroke. This symptom needs to be assessed by your physician for a thorough exam and further workup. ",3,2
How can I tell if numbness and drooping indicate a stroke?,"If someone has the numbness and drooping, use the other guidelines and see if they are experiencing other symptoms. If you aren't sure, go to the hospital to get the person checked. ",1,5
Can falling cause brain damage?,"It depends on how/where you fall, but yes. When you fall, it's possible that you could hit your head on the floor. If it hits hard, especially on a hard surface (like concrete or tile), you could suffer from a concussion at best, or brain damage at worst. See a doctor for more advice in relation to a specific incident.",1,3
"If a person already had a stroke and never attended a hospital, but got better, yet at the same time has symptoms of it, what can be done?","This would depend on the symptoms. Physical therapy is available through most insurance and can be very helpful for regaining strength and range of motion. Occupational therapy is useful for regaining life skills. Cognitive rehabilitation therapy for the cognitive (memory, thinking) effects of stroke is effective, but not available through many insurance providers.",1,3
Should I put something cold on the person's face?,I don't think putting something on their face will make them feel any better. The best thing would be to call for medical help right away.,3,25
How do I help someone who had a seizure after hitting her head?,Seizure after head trauma often indicates brain damage. The condition may be severe. The safest option is to place her on her side and call for emergence medical service. ,1,12
What should I do if someone is standing up and they have a seizure?,"Gently guide them to the floor and be sure to move any furniture that might be in the way. Once you have done that, call 911 immediately and stay with the person until emergency personnel arrive.",7,27
"I have a friend who had 6 grand mal seizures on the way to the hospital and spent 6 days hospitalized. After not remembering 3 days, she came back home and seemed fine for a few days, but now all she does is sleep and has problems moving and talking. How long will it take her to make a full recovery?","It's hard to say, as recovery times are different for each individual. However, I can share with you my own experience, as I have had epilepsy almost all of my life. A grand mal takes everything out of me. I am extremely weak for days, a bit confused and disoriented, and very tired. It usually takes me 4 days to fully recover from one grand mal. Give her as much time as she needs. Six grand mal seizures are nothing to play around with. The most I've had in one day was three. Unfortunately, some people may never recover.",1,9
"If the person having a seizure is sitting in an armchair, should I move him to the floor?","It depends on the type of seizure he is having. If it is small, and the person is shaking, but still conscious, then there may be no need to move him/her. Just make sure that the area around him/her is soft in case he falls. Also, it helps to talk to the person - even if they cannot respond.",1,9
Should you hold their head if they are hitting it against the ground? ,"No, holding the head could cause damage to the head and neck. Instead, use a soft pillow or some other type of padding behind the head.",4,15
"If someone is sleeping and you know they're about to have one, should you try to wake them up?","Gently shake them. If they don't wake up or respond, let them be, don't force them to wake up. Stay with them, if they start having trouble breathing, clear their airway, remove tight clothing, and call an ambulance.",2,10
"What should I do if my friend is having seizures, but the doctor says that there is nothing wrong with her?","There is clearly something wrong, and the doctor is incompetent or just uncaring. She should see another doctor, and ideally, get a referral to a neurologist, who knows much more about such disorders and can give her a more detailed examination.",1,7
Is this a permanent condition?,"In some cases it is. In some cases, it can be a one-time thing, though having a seizure generally indicates that there is something pretty wrong, and the chances of getting another one at some point are fairly high. Sometimes, it can be resolved by brain surgery, by medication, or by avoiding triggers (in the case of people who get seizures from specific stimuli).",1,6
"If someone is having a seizure in a pool, what should I do?","A seizure in water is a life-threatening situation.  If someone is having a seizure in any sort of water, get in the water and support the person with the head tilted so the face and head stay above the surface.  Remove the person from the water as soon as the active movements of the seizure have ceased.",1,5
How can I perform the Heimlich maneuver on myself? ,,,
How many times might this maneuver need to be done on someone?,Continue trying as many times as necessary until emergency personnel arrive.,7,33
What is the correct orientation of the thumb when performing the maneuver?,"The thumb should be held tight on the outside of the hand when you make a fist, against your curled index finger.  Do not hold the thumb inside your hand, as you risk breaking your thumb.  ",9,30
Why not do CPR until help gets there?,"Because if the object blocks the airway, even if you do compressions, oxygen will not be able to circulate and the brain will fail.",9,26
Can an abdominal thrust be done in a seated position?,"Yes. Reach around the chair, with one hand and arm above the shoulder, and the other under the opposite shoulder and grasp your hands as in step 6 in the article. Perform thrusts until the victim either dislodges the object or loses consciousness.  If they lose consciousness, initiate CPR.",10,23
"If the person is pregnant, or too large to reach around, where do you place your hand?","A little below the breast bone xiphoid process. The xiphoid process is a cartilaginous part of the sternum, so pressure should be avoided on it. Depending on the expansion of the abdomen, care must be taken to avoid unnecessary pressure on the growing fetus.
.",1,6
What to do when you are alone?,It's possible to perform the Heimlich Maneuver on yourself. Look it up online.,14,27
How old should a child be to do the Heimlich maneuver?,A child should be big enough to comfortable fit their arms around someone and strong enough to do thrusts. Ages vary depending on how quickly a child grows. ,0,0
Should my rib cage be sore after the abdominal thrust and for how long?,"Soreness is possible for some people after performing the heimlich. With time, your soreness should pass. Try to take it easy afterwards. ",0,0
Can the Heimlich Maneuver be used on someone with a prolapsed disc?,"If someone is choking, it's important to help them. However, someone with a prolapsed disc may be more sensitive. Call 9-1-1, but perform the Heimlich if a health professional is not immediately available. ",0,0
"What do I do when food is stuck, but not the child is not choking?","You can have the child drink water or milk to ""wash"" the food down into their stomach, so it will not block his/her throat. ",3,1
How can I heal a bone if it has gone untreated/unset for a month?,Consult a doctor.  Do not do any heavy lifting or any other work using that part of your body.,0,9
What is the thing called that goes around one's neck to hold his or her broken arm against their body?,It is called a sling. ,3,19
"I do not know if I broke my thumb. It doesn't hurt, but I can hardly move it. What should I do?","You should seek medical treatment as soon as possible. In the meantime, try not to irritate your thumb. If it starts to develop odd coloration or if it's sticking out in an odd angle, it may be broken. ",1,9
What things should be kept in a First Aid Box for fractures and sprains?,"Roller bandages, triangular bandages, trauma pads (these are like cotton pads), and splints. If necessary, towels can be used for splinting.",1,5
What must be done if someone passes out due to excessive heat?,"Get them into a cooler area, loosen their clothes, and call emergency services. Continue to monitor them, dabbing them with a cool cloth until help arrives. ",4,6
"I have not ever drowned but my brother is not a confident swimmer down in the deep end. He thinks he's going to drown, and if he does drown, I can't touch the bottom. Should I get a life guard?",Yes. Make sure a responsible adult or strong swimmer is watching both of you to make sure you don't drown.,0,3
"What should I do if I see someone drowning, but I don't want to get wet because I have a nice dress on?","You take off the dress and jump in to save him. (You might not want to jump in with your dress on, anyway, unless it's super light, because it could make it difficult for you to swim.) ",0,3
What do I do if I'm drowning and no one sees me?,Scream and keep as calm as possible. Put up your hands to make yourself noticeable.,1,0
How would I call 911 in the case of choking if I can't speak?,"Put the phone on speaker and make a lot of loud noises.  Emergency dispatch is required to send officers on all hangup calls, so help will arrive.  ",9,28
"How can I call 911 and let them know I'm choking if I'm unable to speak, breathe or even cough? ","Get someone else to if you can see someone. If not, perform the maneuver and call afterwards.",6,0
How can I numb my finger to take out a splinter?,Soak the affected finger or hand in an ice water bath before trying to extract the splinter.,16,92
My splinter is small and my skin grew over it but it still hurts. What do I do?,"Use a sterile thread needle or safety pin and lightly prick around the akin above as to reveal the splinter. Or, see your doctor or the school nurse, who will deal with it very quickly and painlessly.",5,31
I have a tiny splinter in my foot and I can't get it out. Should I just leave it in?,Probably do not leave it in. It might cause an infection later on and will bother you too. See your doctor for help -- it should be possible to get it removed in the doctor's office.,33,116
How do I get rid of a tiny splinter?,"You can use a magnifying device to help you see the splinter better. Remove some of the excess skin over the splinter with a small safety pin or needle, and pull the splinter out with tweezers.",11,42
What can I do if I have a splinter but I can't see it?,"See your local community nurse or a doctor who will be able to work out how best to get it out. If you try to fish around, you could cause more damage or let in a bacterial infection.",24,64
What can I remove the splinter if the area is red and swollen?,"You can try to reduce the swelling by icing it for awhile, then try to take it out with a needle. You may also try some kind of topical pain reliever. You should not leave the splinter in for more than two weeks or it can get infected, and you might need to see a doctor.",13,36
How do you get a deep splinter out of you toddler's finger?,"It's best to leave it alone, and allow the skin to eventually push it out. If it's a huge splinter, you might try sterilized tweezers to fish it out. But this might make matters worse and cause infection. ",6,19
"My splinter is small and doesn't want to come out, but it doesn't hurt. What should I do?","If it is small and doesn't hurt, you can leave it in and just make sure you keep it clean. After a while, it might come out by itself. You could also try gently and carefully (without pushing the splinter in further) scraping off some of the surface skin on/around the splinter with a pin or needle to make it easier to access. And make sure you use good, sharp tweezers that can grab well; some tweezers can be a little dull and hard to use effectively.",8,23
"What should I do if I have a tiny splinter stuck under my fingernail? Tweezers won't work here, and it is not painful by the way","You may want to see a doctor if you can't get it out, in case it causes infection later.",9,20
I want to try the glue or tape tactic. Does anyone know if it hurts at all?,"It didn't hurt when I tried the tape trick. You can feel it, but it doesn't hurt. I'm pretty sure the glue won't hurt either.",3,9
Do I need a needle for this?,"No, you do not need a needle for this method. ",10,46
What do you do if you can't see the splinter?,"Apply the baking soda mixture to the area in which you feel pain, and the splinter will come out eventually.
",19,55
How do I treat a sting from a nettle?,"To treat the sting of nettles first apply warm water to allow the skin to loosen and expand. Do not rub the affected area. Gently pat dry the area. Once dry, find some tape (scotch tape will probably be fine) and carefully stick it to the affected area and peel it away. This helps to remove the microscopic needles that nettles can leave behind. Ice can be used to reduce swelling and pain.",33,72
"How much water do you add? The baking soda is measured, but the water is not.","There isn't a set amount, just enough to make a thick paste. Just moisten it so it sticks together.  Humidity in the air will affect how much water you will need.",30,65
What do I do if a splinter is too deep and I can't remove it with tweezers?,"Try this method. If it is still in after 24 hours, go to the doctor.",5,17
What if it's under the fingernail?,Try not to put pressure on it and put a bandage with antibiotics on the affected area. Wash your hands carefully.,11,29
"It's not sticking out at all, will baking soda still help?","Yes, the baking soda will cause swelling that will help push the splinter out and eventually allow you to grab it with tweezers.",15,36
Can I pick it out with my hand if it's sticking out completely?,"If it's easy enough to grab, you can. But make sure your fingers are clean before you touch it.",24,40
Does it hurt more than a needle?,"No, it shouldn't. The needle just breaks the skin so you can you tweezers to remove it, the baking soda should bring it all out gently.",38,53
"If the person with a splinter goes swimming before 24 hours have passed, will the paste come off?",Probably. Apply a water-proof bandage if you plan on going in the water.,1,4
What if the pinching doesn't stop the bleeding no matter how long I do it?,"First, make sure that you are putting firm pressure on both sides of your nostrils and that you hold your nose that way for at least 20 minutes without letting go. If this does not slow down the bleeding, then it is possible that the bleeding is coming from further back in the nose and pinching will not reach the vessel. Also, consider any medicine you have taken recently. For example, aspirin or other medicines that decrease your body's ability to form blood clots may also make bleeding last longer.  Try using ice and medicated nasal sprays. These can help to shrink the blood vessels and slow the bleeding. See your doctor if heavy bleeding continues.",10,67
How does a doctor cauterize your nose?,"If you have a vessel that continues to cause nosebleeds, your doctor may decide to cauterize the blood vessel that is causing the nosebleeds. To cauterize the vessel, your doctor will use a compound called silver nitrate to create a tiny burn on the vessel. This usually stops the nosebleeds. If the area that needs to be cauterized is large or in a very sensitive part of the nose, then your doctor will numb the area before cauterizing to decrease your discomfort. ",8,46
What if you faint while having a nosebleed?,"Fainting during a nose bleed is common, especially if you are not used to seeing blood. However, fainting from a nose bleed is not usually dangerous. If you feel like you might faint, lie down in a safe place and if possible, raise your legs up on pillows. If you faint before you can do this, lie down after you regain consciousness and put your legs up on pillows. You can also lie on your side to prevent blood from running down your throat. If you fall and hit your head or have any serious injuries, see a doctor. ",11,47
Will this work on a toddler?,"Yes, it will. You may want to use a red towel if they are afraid of looking at their blood.",8,70
What do you do if your nosebleed last for over an hour?,"Put an ice pack on your nose and continue to lean forward. If bleeding exceeds this time, go to the nearest hospital or medical clinic.",18,103
What should I do if I get a nose bleed while swimming?,"Get out of the water immediately and follow the steps to stop your nose bleed. Notify a lifeguard or manager to clean up any blood. 
",8,54
How can I tell if my nosebleed is serious?,"It is serious if the bleeding continues for more than 30 minutes, or if there is a high amount of blood. ",8,51
Does blood on the tissue look like a lot when it is not?,"Yes, it does.",1,13
Why does lowering your head make the bleeding from your nose come out?,"It's just gravity. Things naturally go down, and lowering your head points your nasal canal down, which gives the blood an easy way out.",2,17
Will drinking water also prevent nose bleeds?,"Yes! Make sure to drink a lot of water to keep yourself hydrated, so your nose won't bleed. ",7,36
What should I do to a small cut on the eyebrow that has been slowly bleeding for 10 hours so far?,"A wound that continues to bleed should be closed with sutures. In addition, the face is quite vascular, and that is a cosmetically sensitive area, so it should be seen and treated by a medical professional who can assess how deep the wound is, and determine the source of the ongoing bleeding.",2,12
How do I stop bleeding from a tooth extraction?,"You can try biting on a piece of cotton gauze, or a tea bag. If the bleeding persists beyond 20-30 minutes, or the bleeding is pulsatile or severe, then contact the dentist that did the extraction without delay.",5,12
What if you have no idea on how deep the cut is?,"As long as you have called the ambulance and you keep putting pressure on it so that the blood won't flow out you should be fine. It is the best someone not trained to treat people can do, and it's way better than doing nothing.",5,32
What if the cut pushes up a small sliver of skin on my finger?,The best thing to do would be to press the flap of skin back down over the cut and cover it with a Band-Aid or other sort of bandage.,4,27
What should I do if my wound has been bleeding heavily for longer than 5 days?,"Go to a doctor. If it is a small wound that is bleeding unnecessarily after proper treatment, then a doctor should be notified after 24 to 48 hours. If the wound is large enough to not stop bleeding, then you might need stitches or/and medical attention other than first-aid. ",6,34
How can I stop bleeding if I get a cut while taking blood thinners?,"If you're taking an anticoagulant, it may take more time and pressure to stop the bleeding; but the method is still the same. If you're treating someone else, look for a medical bracelet or necklace that indicates he/she is taking an anticoagulant.",6,23
"My friend was wounded inside his nose and after an hour his nose and mouth are still bleeding, what should I do?","Apply pressure to the wound. If it goes on for too long (use the advice in the article to help you determine this), see a doctor.",1,6
What happens if I cut a vein?,Have a medical professional look at the wound as soon as possible.,4,12
Should I use Super Glue on cuts as they do in the ER?,"Yes, the glue does seal the edges. However, this should only be a short term fix for a wound that has been thoroughly cleaned. Otherwise, you could be sealing in debris and bacteria. ",6,11
What do I do if your nail is bleeding?,Apply pressure and bandage. Seek medical attention if you cannot get it to stop bleeding.,1,1
How do I treat my injured finger?,You want to seek the attention of a medical doctor so that you can get an x-ray.  This will make ensure that the finger is not broken.  The doctor will splint the finger and give you pain medications to control the pain if necessary. ,2,6
How long do I have to leave the splint on a broken finger?,"The standard time for a broken bone is six weeks, but that is variable.  ",5,8
My pinky finger got hit with a football and it's been hurting for about 3 hours or so. What can I do about it?,"Apply ice, take an over-the-counter pain reliever (like Advil) and avoid moving your finger. ",1,7
Is it normal for a finger to still be swollen five weeks after it was broken?,"Yes. In most cases, it will take about six weeks before the broken finger returns to normal. If it takes any longer, you might want to visit a doctor.",11,27
Can I treat my broken finger by taping it to an adjacent finger and avoid a doctor visit?,"The problem with doing this is that the manner in which the bones mend may not be ideal, even if you're able to withstand the pain. This is definitely a time to find the fee for the doctor's visit, or to go to the emergency room, and get some proper help in ensuring that your broken finger mends properly. You have to live with the results for the rest of your life, so be sure it's done well.
",19,37
What will an orthopedic doctor do for a chipped bone and fracture on a finger?,"They will probably put it in a cast/splint or tape .But if it is more severe, they may have to realign your bone or even consider surgery.
",15,26
"If I fractured a finger and it is still discolored after two days, do I need to see a doctor?","It is better to have the finger examined immediately rather than wait. If the bone is fractured, then waiting only makes it more difficult.",12,17
"I broke my little finger in three places.  I had surgery and then a hard cast for two months, and now a splint.  I can take it off to do therapy, but it is still swollen and hard to completely bend, and won't straighten. What can I do to help my process to straighten it?","Just follow through with the physical therapy exercises you have been ordered.  It can take a long time to heal, especially if you broke it in three places, so be patient.  The next time you have therapy, ask your therapist if you can increase the exercises in order to expedite the healing process.",1,4
What should I do to help treat a sprained finger?,"Use a stick or something secure, like a craft stick. Tape it onto the finger that is sprained with special tape they use for sprains. Then it will hold it up straight so you won't accidentally bend it or anything. Or, just go to the hospital.",14,19
Is my finger broken if it's throbbing?,"Not necessarily. If, however, the finger is also purple, swollen, and/or super hard to move, it's time to bite the bullet and go to the ER.",7,10
What can I do if someone around me is suffering from a heart attack and there is no medical faculty around?,"Try CPR (100/min) immediately if the person becomes unconscious, and contact your emergency services as soon as possible.",7,6
What would I do if I had a heart attack in the middle of the night and everyone was sleeping?,"Relax as much as you possibly can, take Aspirin, and then after you feel a little better, wake somebody to take you to the hospital!",38,8
What can a doctor do if there is tissue damage after a heart attack?,"Find out what caused the heart attack -- usually clogged arteries from atherosclerosis. The most important thing is to stop smoking if you smoke; also, don't drink excessively. Then get your blood pressure, sugar (if diabetic), and cholesterol controlled; take an aspirin a day if indicated. Sometimes a steady exercise program can cause your heart to grow arteries around the damaged area, improving its function. Of course, there is also surgery.",6,2
What do I do if I'm alone?,,,
What if I don't have Aspirin handy and I'm unsure if this is heart attack?,"To be safe, if you are having mild discomfort I would recommend a trip to the emergency room. Usually, hospitals don't even want you to take an Aspirin while help is on the way. Don't take the risk.",1,0
