Title,Story
"Choking: First aid - Mayo Clinic
","Choking occurs when a foreign object becomes lodged in the throat or windpipe, blocking the flow of air. In adults, a piece of food often is the culprit. Young children often swallow small objects. Because choking cuts off oxygen to the brain, administer first aid as quickly as possible. The universal sign for choking is hands clutched to the throat. If the person doesn't give the signal, look for these indications: If choking is occurring, the Red Cross recommends a ""five-and-five"" approach to delivering first aid: The American Heart Association doesn't teach the back blow technique, only the abdominal thrust procedures. It's OK not to use back blows, if you haven't learned the technique. Both approaches are acceptable. To perform abdominal thrusts (Heimlich maneuver) on someone else: If you're the only rescuer, perform back blows and abdominal thrusts before calling 911 or your local emergency number for help. If another person is available, have that person call for help while you perform first aid. If the person becomes unconscious, perform standard CPR with chest compressions and rescue breaths. To perform abdominal thrusts (Heimlich maneuver) on yourself: First, if you're alone and choking, call 911 or your local emergency number immediately. Then, although you'll be unable to effectively deliver back blows to yourself, you can still perform abdominal thrusts to dislodge the item. To clear the airway of a pregnant woman or obese person: To clear the airway of an unconscious person: To clear the airway of a choking infant younger than age 1: If the child is older than age 1, give abdominal thrusts only. To prepare yourself for these situations, learn the Heimlich maneuver and CPR in a certified first-aid training course. Inability to talk Difficulty breathing or noisy breathing Inability to cough forcefully Skin, lips and nails turning blue or dusky Loss of consciousness Give 5 back blows. First, deliver five back blows between the person's shoulder blades with the heel of your hand. Give 5 abdominal thrusts. Perform five abdominal thrusts (also known as the Heimlich maneuver). Alternate between 5 blows and 5 thrusts until the blockage is dislodged. Stand behind the person. Wrap your arms around the waist. Tip the person forward slightly. Make a fist with one hand. Position it slightly above the person's navel. Grasp the fist with the other hand. Press hard into the abdomen with a quick, upward thrust  as if trying to lift the person up. Perform a total of 5 abdominal thrusts, if needed. If the blockage still isn't dislodged, repeat the five-and-five cycle. Place a fist slightly above your navel. Grasp your fist with the other hand and bend over a hard surface  a countertop or chair will do. Shove your fist inward and upward. Position your hands a little bit higher than with a normal Heimlich maneuver, at the base of the breastbone, just above the joining of the lowest ribs. Proceed as with the Heimlich maneuver, pressing hard into the chest, with a quick thrust. Repeat until the food or other blockage is dislodged or the person becomes unconscious. Lower the person on his or her back onto the floor. Clear the airway. If a blockage is visible at the back of the throat or high in the throat, reach a finger into the mouth and sweep out the cause of the blockage. Be careful not to push the food or object deeper into the airway, which can happen easily in young children. Begin cardiopulmonary resuscitation (CPR) if the object remains lodged and the person doesn't respond after you take the above measures. The chest compressions used in CPR may dislodge the object. Remember to recheck the mouth periodically. Assume a seated position and hold the infant facedown on your forearm, which is resting on your thigh. Thump the infant gently but firmly five times on the middle of the back using the heel of your hand. The combination of gravity and the back blows should release the blocking object. Hold the infant faceup on your forearm with the head lower than the trunk if the above doesn't work. Using two fingers placed at the center of the infant's breastbone, give five quick chest compressions. Repeat the back blows and chest thrusts if breathing doesn't resume. Call for emergency medical help. Begin infant CPR if one of these techniques opens the airway but the infant doesn't resume breathing. Berg RA, et al. Part 5: Adult basic life support  2010 American Heart Association guidelines for cardiopulmonary resuscitation and emergency cardiovascular care. Circulation. 2010;122(suppl):S685. "
"Corneal abrasion (scratch): First aid - Mayo Clinic
","A corneal abrasion is a superficial scratch on the clear, protective ""window"" at the front of your eye (cornea). Your cornea can be scratched by contact with dust, dirt, sand, wood shavings, metal particles, contact lenses or even the edge of a piece of paper. Corneal abrasions caused by plant matter (such as a pine needle) usually require special attention as they can cause a delayed inflammation inside the eye (iritis). Signs and symptoms of corneal abrasion include: In case of corneal abrasion, seek prompt medical attention. Left untreated, it could become infected and result in a corneal ulcer. Immediate steps you can take for a corneal abrasion are to: Use the following pointers to avoid making the injury worse: Most corneal abrasions heal in a day or two. Pain A gritty feeling in the eye Tearing Redness Sensitivity to the light Headache Rinse your eye with clean water or a saline solution. You can use an eyecup or a small, clean drinking glass positioned with its rim resting on the bone at the base of your eye socket. If you have quick access to a work site eye-rinse station, use it. Rinsing the eye may wash out a foreign object.  Blink several times. This may remove small particles. Pull the upper eyelid over the lower eyelid. This may cause your eye to tear, which may help wash out the particle. Or it may cause the lashes of your lower eyelid to brush away an object from under your upper eyelid. Don't try to remove an object that is embedded in your eyeball or makes it difficult to close your eye. Don't rub your eye after an injury. Don't touch your eyeball with cotton swabs, tweezers or other instruments. If you use contact lenses, don't wear them while your eye is healing. AskMayoExpert. Corneal abrasion. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2014. Browner EA. Corneal abrasions. Pediatrics in Review. 2012;33:285. Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009. "
"Cuts and scrapes: First aid - Mayo Clinic
","Minor cuts and scrapes usually don't require a trip to the emergency room. These guidelines can help you care for such wounds: Wash your hands. This helps avoid infection. Also put on disposable protective gloves if they're available. Stop the bleeding. Minor cuts and scrapes usually stop bleeding on their own. If not, apply gentle pressure with a sterile bandage or clean cloth and elevate the wound. Clean the wound. Use clear water to rinse the wound. Also clean around the wound with soap and a washcloth. Keep soap out of the wound, as it can cause irritation. If dirt or debris remains in the wound after washing, use tweezers cleaned with alcohol to remove the particles. If debris still remains, see your doctor. Thorough cleaning reduces the risk of infection and tetanus. There's no need to use hydrogen peroxide, iodine or an iodine-containing cleanser, which can be irritating to tissue already injured. Apply an antibiotic. Apply a thin layer of an antibiotic cream or ointment (Neosporin, Polysporin) to help keep the surface moist. These products don't make the wound heal faster. But they can discourage infection and help the body's natural healing process. Certain ingredients in some ointments can cause a mild rash in some people. If a rash appears, stop using the ointment. Cover the wound. Bandages can help keep the wound clean and keep harmful bacteria out. If the injury is just a minor scrape, or scratch, leave it uncovered. Change the dressing. Do this at least once a day or whenever the bandage becomes wet or dirty. If the injured person is allergic to the adhesive in tapes and bandages, switch to adhesive-free dressings or sterile gauze held in place with paper tape, rolled gauze or a loosely applied elastic bandage. These supplies generally are available at pharmacies. Get stitches for deep wounds. A deep  all the way through the skin  gaping or jagged wound with exposed fat or muscle will need stitches. Adhesive strips or butterfly tape may hold a minor cut together, but if you can't easily close the wound, see your doctor as soon as possible. Proper closure within a few hours minimizes scarring and reduces the risk of infection. Watch for signs of infection. See your doctor if the wound isn't healing or you notice any redness, increasing pain, drainage, warmth or swelling. Get a tetanus shot. If the injured person hasn't had a tetanus shot in the past five years and the wound is deep or dirty, he or she may need a booster shot, as soon as possible. Millman M. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Clinic; 2010. Piazza GM, et al. First Aid Manual. 3rd ed. London, England; New York, N.Y.: DK Publishing; 2009. Subbarao I, et al., eds. American Medical Association Handbook of First Aid and Emergency Care. New York: Random House; 2009. "
"Dislocation: First aid - Mayo Clinic
","A dislocation is an injury in which the ends of your bones are forced from their normal positions. The cause is usually trauma resulting from a fall, an auto accident, or a collision during contact or high-speed sports. Dislocation usually involves the body's larger joints. In adults, the most common site of the injury is the shoulder. In children, it's the elbow. Your thumb and fingers also are vulnerable if forcibly bent the wrong way. The injury will temporarily deform and immobilize your joint and may result in sudden and severe pain and swelling. A dislocation requires prompt medical attention to return your bones to their proper positions. Don't delay medical care. Get medical help immediately. Don't move the joint. Until you receive help, splint the affected joint into its fixed position. Don't try to move a dislocated joint or force it back into place. This can damage the joint and its surrounding muscles, ligaments, nerves or blood vessels. Put ice on the injured joint. This can help reduce swelling by controlling internal bleeding and the buildup of fluids in and around the injured joint. "
"Electrical burns: First aid - Mayo Clinic
","Electrical burns may be caused by a number of sources of electricity, such as lightning, stun guns and contact with household current. You may treat minor electrical burns as you would other minor burns. A person who has been injured by contact with electricity should be seen by a doctor. Sometimes an electrical injury can cause damage to internal tissues, usually in an arm or a leg. The damage may be worse than one would expect from the burn on the skin. Call 911 or your local emergency number if the injured person experiences: Take these actions immediately while waiting for medical help: Don't touch the injured person if he or she is still in contact with the electrical current. Call 911 or your local emergency number if the source of the burn is a high-voltage wire or lightning. Don't get near high-voltage wires until the power is turned off. Overhead power lines usually aren't insulated. Stay at least 20 feet (about 6 meters) away  farther if wires are jumping and sparking.  Don't move a person with an electrical injury unless the person is in immediate danger. Severe burns Confusion Difficulty breathing Heart rhythm problems (arrhythmias) Cardiac arrest Muscle pain and contractions Seizures Loss of consciousness Turn off the source of electricity if possible. If not, move the source away from both you and the injured person using a dry, nonconducting object made of cardboard, plastic or wood. Begin CPR if the person shows no signs of circulation, such as breathing, coughing or movement. Try to prevent the injured person from becoming chilled. Apply a bandage. Cover any burned areas with a sterile gauze bandage, if available, or a clean cloth. Don't use a blanket or towel, because loose fibers can stick to the burns. Millman M. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Subbarao I, et al. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009:56. AskMayoExpert. Electrical injuries. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2014. Field JM, et al. Part 2: Executive Summary, 2010 American Heart Association Guidelines for Cardiopulmonary Resuscitation and Emergency Cardiovascular Care. Circulation. 2010;122(suppl):S650. Murphy F, et al. Treatment for burn blisters: Debride or leave intact? Emergency Nurse. 2014;22:24. "
"Electrical shock: First aid - Mayo Clinic
","The danger from an electrical shock depends on the type of current, how high the voltage is, how the current traveled through the body, the person's overall health and how quickly the person is treated. An electrical shock may cause burns, or it may leave no visible mark on the skin. In either case, an electrical current passing through the body can cause internal damage, cardiac arrest or other injury. Under certain circumstances, even a small amount of electricity can be fatal. A person who has been injured by contact with electricity should be seen by a doctor. Call 911 or your local emergency number if the injured person experiences: Take these actions immediately while waiting for medical help: Don't touch the injured person if he or she is still in contact with the electrical current. Call 911 or your local emergency number if the source of the burn is a high-voltage wire or lightning. Don't get near high-voltage wires until the power is turned off. Overhead power lines usually aren't insulated. Stay at least 20 feet (about 6 meters) away  farther if wires are jumping and sparking. Don't move a person with an electrical injury unless he or she is in immediate danger. Severe burns Confusion Difficulty breathing Heart rhythm problems (arrhythmias) Cardiac arrest Muscle pain and contractions Seizures Loss of consciousness Turn off the source of electricity, if possible. If not, move the source away from you and the person, using a dry, nonconducting object made of cardboard, plastic or wood. Begin CPR if the person shows no signs of circulation, such as breathing, coughing or movement. Try to prevent the injured person from becoming chilled. Apply a bandage. Cover any burned areas with a sterile gauze bandage, if available, or a clean cloth. Don't use a blanket or towel, because loose fibers can stick to the burns. Subbarao I, et al. American Medical Association Handbook of First Aid and Emergency Care. New York, N.Y.: Random House; 2009:56. AskMayoExpert. Electrical injuries. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2014. Millman M. Mayo Clinic Guide to Self-Care. 6th ed. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Field JM, et al. Part 2: Executive Summary, 2010 American Heart Association Guidelines for Cardiopulmonary Resuscitation and Emergency Cardiovascular Care. Circulation. 2010;122(suppl):S650. Murphy F, et al. Treatment for burn blisters: Debride or leave intact? Emergency Nurse. 2014;22:24. "
"Emergency essentials: Keep a bug out bag ready - Mayo Clinic
","Emergency essentials kits can help you respond to natural disasters or other serious situations. Prepare for the unexpected by putting together a bug out bag of items that could be useful if you needed to evacuate your home. Pack enough to last 24 to 48 hours, and keep your emergency essentials handy. Make sure your family members know where to find the kit. Consider keeping one in your car as well. A basic emergency essentials kit includes: Small, waterproof flashlight or headlamp and extra batteries Waterproof matches Water, 1 gallon a person a day Food that won't spoil, including baby food, if needed Manual can opener for food Pet food and supplies, such as a leash, if needed Small notepad and waterproof writing instrument Blanket Cellphone with solar charger Battery-powered or hand crank radio and a weather radio with tone alert and extra batteries for both Sunscreen Insect repellent Whistle First-aid kit Dust mask Plastic sheeting and duct tape for improvised shelter Wrench or pliers to turn off utilities Medicine, a week's supply Extra medical supplies or equipment, as needed Soap, toothbrush and other personal care items Moist towelettes, garbage bags and plastic ties for personal sanitation Emergency health information for you and your family Medical consent forms for each family member Phone numbers for professional emergency contacts, such as your family doctor and pediatrician, local emergency services, emergency road service providers, and the regional poison control center Phone numbers for a personal emergency contact, such as a friend or a family member who you've asked to serve in this role Copy of insurance cards Cash or traveler's checks and change Maps of the area An extra set of car keys and house keys Barbara Woodward Lips Patient Education Center. Being prepared for an emergency for people with a disability. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. "
"Emergency health information: Keep your personal and family records within reach - Mayo Clinic
","Emergency health information for you and your family may be needed at a moment's notice. Make sure that key information is up to date, accurate and handy  it may help you get the care you need in a medical emergency. Nowadays, you may find it useful to store this information in an online patient health record and share it with your doctor and emergency contact person. In fact, you may already have access to a patient portal, which is an electronic health information tool offered by many insurance companies, employers and health care institutions. If you have children, it is important to handle their emergency health information similarly. You may not be available to provide needed information in an emergency. Include in your health record, whether online or on paper, the following information: Many people store their personal health information online with the help of an app or a service. This method allows you to access your information anywhere with a computer or a mobile device. Some tools also help you share information with your doctors, family or emergency contact person. The most important thing is to make sure it can be made readily available in an emergency or if you're unconscious. Two options for storing your information online include: Your name, age and sex Your address Your medication names, doses and schedules Your medical equipment Your chronic medical conditions, such as epilepsy Medical consent form Aspects of your health history that could be helpful to emergency medical responders, including allergies and immunization record Phone numbers for professional emergency contacts, such as your family doctor, local emergency services, emergency road service providers, and the regional poison control center Phone numbers for a personal emergency contact, such as a friend or a family member who you've asked to serve in this role Free or subscription-based personal health record. A personal health record (PHR) includes your most important health information. It's like the electronic health record that your doctor may keep for you. But with a PHR, you maintain it and determine who has access to it. Patient portals. Many health care providers, insurance companies and employers offer their clients or staff access to their electronic health record via patient portals. Print versions. If you choose to maintain your emergency health information on paper, keep a number of print copies in handy places. For example, put a copy in your purse, vehicle glove box, first aid kit and emergency kit. You could even try making one small enough to fit in your wallet or on an index card. Consider posting the index card on your refrigerator door so emergency personnel can see it quickly if needed. Portable digital device. Put the list on a cell phone, thumb drive or other device that you keep with you. Barbara Woodward Lips Patient Education Center. Being Prepared for an Emergency for People with a Disability. Rochester, Minn.: Mayo Foundation for Medical Education and Research; 2010. Keep it with you: Personal medical information form. Centers for Disease Control and Prevention. emergency.cdc.gov/disasters/kiwy.asp. Accessed April 6, 2015. E-health: Maintain your medical record. Office of the National Coordinator for Health Information Technology, U.S. Department of Health and Human Services. www.healthIT.gov. Accessed April 23, 2015. Steven R. Ommen (expert opinion). Mayo Clinic, Rochester, Minn. April 23, 2015. "
"Fainting: First aid - Mayo Clinic
","Fainting occurs when the blood supply to your brain is momentarily inadequate, causing you to lose consciousness. This loss of consciousness is usually brief. Fainting can have no medical significance, or the cause can be a serious disorder. Therefore, treat loss of consciousness as a medical emergency until the signs and symptoms are relieved and the cause is known. Discuss recurrent fainting spells with your doctor. If the person was injured in a fall associated with a faint, treat any bumps, bruises or cuts appropriately. Control bleeding with direct pressure. Lie down or sit down. To reduce the chance of fainting again, don't get up too quickly. Place your head between your knees if you sit down. Position the person on his or her back. If the person is breathing, restore blood flow to the brain by raising the person's legs above heart level  about 12 inches (30 centimeters)  if possible. Loosen belts, collars or other constrictive clothing. To reduce the chance of fainting again, don't get the person up too quickly. If the person doesn't regain consciousness within one minute, call 911 or your local emergency number. Check the person's airway to be sure it's clear. Watch for vomiting. Check for signs of circulation (breathing, coughing or movement). If absent, begin CPR. Call 911 or your local emergency number. Continue CPR until help arrives or the person responds and begins to breathe. "
"Fever: First aid - Mayo Clinic
","A fever is a rise in body temperature. It's usually a sign of infection. The fever itself is generally harmless and probably helpful. Fevers usually don't need treatment. The average body temperature is 98.6 F (37 C). But normal body temperature can range between 97 (36.1) and 99 (37.2) or more. Your body temperature can vary depending on how active you are or the time of day. Generally, older people have lower body temperatures than younger people. The following thermometer readings generally indicate a fever: When you or your child is sick, the main goal is to relieve discomfort and promote rest. Treating a fever neither shortens nor particularly prolongs the course of an illness. Children with relatively high fevers may not look or act particularly sick. Treating a fever depends on the degree of discomfort. If your child is uncomfortable or restless, these home care strategies may help: Give your child acetaminophen (Tylenol, others) or ibuprofen (Advil, Children's Motrin, others) as directed on the label. Note these precautions: Treat adults with a fever based on how they look and feel. Adults with fevers of 103 F (39.4 C) or higher will generally look and act sick. Use the same home care strategies as listed for children. Get medical help for a fever if: Seek emergency medical care if your child has a fever after being left in a hot car or other such potentially dangerous situation and shows any of these warning signs: Always use a digital thermometer to check someone's temperature. Various types are available, including: Because of the potential for mercury exposure or ingestion, glass mercury thermometers have been phased out and are no longer recommended. No matter which type of thermometer you use, take these precautions when using it: Rectal, ear or temporal artery temperature of 100.4 (38 C) or higher Oral temperature of 100 F (37.8 C) or higher Armpit temperature of 99 F (37.2 C) or higher Encourage your child to drink fluids. Dress your child in lightweight clothing. If your child feels chilled, use a light blanket until the chills end. 
Give your child acetaminophen (Tylenol, others) or ibuprofen (Advil, Children's Motrin, others) as directed on the label.
Note these precautions:

Don't give aspirin to anyone age 18 or younger
Don't give ibuprofen to children under 6 months
Don't give acetaminophen to infants under 6 weeks

 Don't give aspirin to anyone age 18 or younger Don't give ibuprofen to children under 6 months Don't give acetaminophen to infants under 6 weeks Your child is younger than 3 months and has a fever Your child is age 3 to 6 months and has a temperature up to 102 F (38.9 C) and seems unusually irritable, lethargic or uncomfortable Your child is age 3 to 6 months and has a temperature higher than 102 F (38.9 C) Your child is age 6 to 24 months and has a temperature above 102 F (38.9 C) that lasts longer than a day but shows no other symptoms Your child is 2 to 17 years and has a temperature up to 102 F (38.9 C) and seems unusually irritable, lethargic or uncomfortable Your child is 2 to 17 years and has a temperature above 102 F (38.9 C) that lasts longer than three days or doesn't respond to medication An adult has a fever that doesn't respond to medication, is consistently 103 F (39.4 C) or higher, or lasts longer than three days Fever with no sweating Severe headache Seizures Stiff neck Confusion Repeated vomiting or diarrhea Irritability or significant discomfort Any worrisome, different or unusual symptoms Digital thermometers, which can be used in the rectum (rectal), mouth (oral) or armpit (axillary), though an armpit reading is the least accurate Digital ear thermometers (tympanic membrane) Temporal artery thermometer, which measures the temperature of the temporal artery in the forehead Read the instructions that came with the thermometer. Clean it before and after each use with rubbing alcohol or soap and lukewarm water. Don't use the same thermometer for both oral and rectal temperatures. Get two and label which is used where. Never leave a child unattended while taking his or her temperature. Turn on the digital thermometer and dab petroleum jelly or another lubricant on the tip of the thermometer. Lay the child on his or her stomach. Carefully insert the tip 1/2 to 1 inch (1.3 to 2.5 centimeters) into the rectum. Hold the thermometer and child still until the thermometer beep indicates it's done. To avoid injury, don't let go of the thermometer while it's inside the child. Remove the thermometer and read the number. Turn on the digital thermometer. Place the thermometer tip under the tongue. Close the mouth around the thermometer for the recommended amount of time or until the thermometer beep indicates it's done. Remove the thermometer and read the number. Turn on the digital thermometer. Place the thermometer under the armpit, making sure it touches skin, not clothing. Hold the thermometer tightly in place until you hear the thermometer beep indicating it's done. Remove the thermometer and read the number. Turn on the digital thermometer. Gently place it in the ear, no further than indicated by the instructions that came with the device. Hold the thermometer tightly in place until you hear the thermometer beep indicating it's done. Remove the thermometer and read the number. Turn on the thermometer. Gently sweep it across the forehead and read the number. Schmitt BD. Fever. In: Pediatric Telephone Protocols. 14th ed. Elk Grove Village, Ill.: American Academy of Pediatrics; 2013. Wilkinson JM (expert opinion). Mayo Clinic, Rochester, Minn. March 1, 2015. Hoecker JL (expert opinion). Mayo Clinic, Rochester, Minn. March 2, 2015. "
"First-aid kits: Stock supplies that can save lives - Mayo Clinic
","A well-stocked first-aid kit can help you respond effectively to common injuries and emergencies. Keep at least one first-aid kit in your home and one in your car. Store your kits someplace easy to get to and out of the reach of young children. Make sure children old enough to understand the purpose of the kits know where they're stored. You can buy first-aid kits at many drugstores or assemble your own. You may want to tailor your kit based on your activities and needs. A basic first-aid kit includes: Check your first-aid kits regularly to be sure the flashlight batteries work and to replace supplies that have expired or been used up. Consider taking a first-aid course through the American Red Cross. Contact your local chapter for information on classes. Prepare children for medical emergencies in age-appropriate ways. The American Red Cross offers a number of helpful resources, including classes designed to help children understand and use first-aid techniques. Adhesive tape Elastic wrap bandages Bandage strips and ""butterfly"" bandages in assorted sizes Nonstick sterile bandages and roller gauze in assorted sizes Eye shield or pad Triangular bandage Aluminum finger split Instant cold packs Cotton balls and cotton-tipped swabs Disposable nonlatex examination gloves, several pairs Duct tape Petroleum jelly or other lubricant Plastic bags, assorted sizes Safety pins in assorted sizes Scissors and tweezers Soap or hand sanitizer Antibiotic ointment Antiseptic solution and towelettes Eyewash solution Thermometer Turkey baster or other bulb suction device for flushing wounds Breathing barrier Syringe, medicine cup or spoon First-aid manual Aloe vera gel Calamine lotion Anti-diarrhea medication Laxative Antacids Antihistamine, such as diphenhydramine Pain relievers, such as acetaminophen (Tylenol, others), ibuprofen (Advil, Motrin IB, others) and aspirin (never give aspirin to children) Hydrocortisone cream Cough and cold medications Personal medications that don't need refrigeration Auto-injector of epinephrine, if prescribed by your doctor Emergency phone numbers, including contact information for your family doctor and pediatrician, local emergency services, emergency road service providers, and the poison help line, which in the United States is 800-222-1222. Medical consent forms for each family member Medical history forms for each family member Small, waterproof flashlight or headlamp and extra batteries Waterproof matches Small notepad and waterproof writing instrument Emergency space blanket Cell phone with solar charger Sunscreen Insect repellant Whistle Wilkinson JM (expert opinion). Mayo Clinic, Rochester, Minn. Feb. 28, 2015. "
"Food-borne illness: First aid - Mayo Clinic
","All foods naturally contain small amounts of bacteria. But poor handling of food, improper cooking or inadequate storage can result in bacteria multiplying in large enough numbers to cause illness. Parasites, viruses, toxins and chemicals also can contaminate food and cause illness. Signs and symptoms of food poisoning vary with the source of contamination, and whether you are dehydrated or have low blood pressure. Generally they include: With significant dehydration, you might feel: Whether you become ill after eating contaminated food depends on the organism, the amount of exposure, your age and your health. High-risk groups include: If you develop food poisoning: Foodborne illness often improves on its own within 48 hours. Call your doctor if you think you have a foodborne illness and your symptoms have lasted longer than two or three days. Call immediately if blood appears in your stools. Seek emergency medical assistance if: Diarrhea Nausea Abdominal pain Vomiting Dehydration Lightheaded or faint, especially on standing A rapid heartbeat Older adults. As you get older, your immune system may not respond as quickly and as effectively to infectious organisms as it once did. Infants and young children. Their immune systems haven't fully developed. People with chronic diseases. Having a chronic condition, such as diabetes or AIDS, or receiving chemotherapy or radiation therapy for cancer reduces your immune response. Rest and drink plenty of liquids. Generally, anti-diarrheal medications should be avoided because they may slow elimination of organisms or toxins from your system. If in doubt, check with your doctor about your particular situation. Infants or young children should not be given anti-diarrheal medications because of potentially serious side effects. You have severe symptoms, such as severe abdominal pain or watery diarrhea that turns very bloody within 24 hours. You belong to a high-risk group. You suspect botulism poisoning. Botulism is a potentially fatal food poisoning that results from the ingestion of a toxin formed by certain spores in food. Botulism toxin is most often found in home-canned foods, especially green beans or tomatoes. Signs and symptoms of botulism usually begin 12 to 36 hours after eating the contaminated food and may include headache, blurred vision, muscle weakness and eventual paralysis. Some people also have nausea and vomiting, constipation, urinary retention, difficulty breathing, and dry mouth. These signs and symptoms require immediate medical attention. "
"Foreign object in the ear: First aid - Mayo Clinic
","A foreign object in the ear can cause pain and hearing loss. Usually you know if an object is stuck in your ear, but small children may not be aware of it.

If an object becomes lodged in the ear, follow these steps:

Don't probe the ear with a tool. Don't attempt to remove the foreign object by probing with a cotton swab, matchstick or any other tool. To do so risks pushing the object farther into the ear and damaging the fragile structures of the middle ear.
Remove the object if possible. If the object is clearly visible, pliable and can be grasped easily with tweezers, gently remove it. Try using gravity. Tilt the head to the affected side to try to dislodge the object.
Try using oil for an insect. If the foreign object is an insect, tilt the person's head so that the ear with the offending insect is upward. Try to float the insect out by pouring mineral oil, olive oil or baby oil into the ear. The oil should be warm but not hot. As you pour the oil, you can ease the entry of the oil by straightening the ear canal. Pull the earlobe gently backward and upward for an adult, backward and downward for a child. The insect should suffocate and float out in the oil bath. Don't use oil to remove any object other than an insect. Don't use this method for a child if ear tubes are in place or if you think the eardrum may be perforated. Signs of this are pain, bleeding or discharge from the ear.
Try washing the object out. Use a bulb ear syringe and warm water to irrigate the object out of the canal, again provided no ear tubes are in place and you don't suspect the eardrum is perforated.
If these methods fail or the person continues to experience pain in the ear, reduced hearing or a sensation of something lodged in the ear, seek medical assistance."
"Foreign object in the eye: First aid - Mayo Clinic
","If you get a foreign object in your eye

Wash your hands with soap and water.
Try to flush the object out of your eye with a gentle stream of clean, warm water. Use an eyecup or a small, clean drinking glass positioned with its rim resting on the bone at the base of your eye socket.
Another way to flush a foreign object from your eye is to get into a shower and aim a gentle stream of lukewarm water on your forehead over the affected eye while holding your eyelid open.
If you're wearing contact lenses, it's best to remove the lens before or while you're irrigating the surface of the eye with water. Sometimes a foreign body can be embedded on the undersurface of the lens.
To help someone else

Wash your hands with soap and water.
Seat the person in a well-lighted area.
Gently examine the eye to find the object. Pull the lower lid down and ask the person to look up. Then hold the upper lid while the person looks down.
If the object is floating in the tear film on the surface of the eye, try using a medicine dropper filled with clean, warm water to flush it out. Or tilt the head back and irrigate the surface of the eye with clean water from a drinking glass or a gentle stream of tap water.
Caution

Don't try to remove an object that's embedded in the eye.
Don't rub the eye.
Don't try to remove a large object that appears to be embedded in the eye or is sticking out between the lids.
When to seek emergency care

Get immediate medical help if:

You can't remove the object with simple irrigation
The object is embedded in the eye
The person with the object in the eye is experiencing abnormal vision
Pain, redness or the sensation of an object in the eye persists after the object is removed"
"Foreign object in the nose: First aid - Mayo Clinic
","If a foreign object becomes lodged in your nose:

Don't probe at the object with a cotton swab or other tool.
Don't try to inhale the object by forcefully breathing in. Instead, breathe through your mouth until the object is removed.
Blow out of your nose gently to try to free the object, but don't blow hard or repeatedly. If only one nostril is affected, close the opposite nostril by applying gentle pressure and then blow out gently through the affected nostril.
Gently remove the object if it's visible and you can easily grasp it with tweezers. Don't try to remove an object that isn't visible or easily grasped.
Call for emergency medical assistance or go to your local emergency room if these methods fail."
"Foreign object in the skin: First aid - Mayo Clinic
","You can usually safely remove a small foreign object — such as a wood splinter, thorn, fiberglass or glass — that's just under the surface of the skin:

Wash your hands and clean the area well with soap and water.
Use tweezers cleaned with rubbing alcohol to remove the object. A magnifying glass may help you see better.
If the object is under the surface of the skin, sterilize a clean, sharp needle by wiping it with rubbing alcohol. Use the needle to gently lift or break the skin over the object. Lift the tip of the object out and grasp it with your tweezers.
Squeeze the wound gently to allow bleeding to wash out germs.
Wash the area again and pat dry. Apply an antibiotic ointment.
Seek prompt medical help for a foreign object that seems to be more deeply embedded in the skin or muscle. Follow these precautions and steps first:

Don't try to remove the object. Doing so could cause further harm.
If needed, control bleeding by pressing firmly around the object to bring the edges of the wound together and by raising the injury higher than the heart.
Bandage the wound. First put a piece of gauze over the object. Then, if it helps, put clean padding around the object before binding the wound securely with a bandage or a piece of clean cloth. Take care not to press too hard on the object.
In addition, seek medical help if:

The object doesn't come out easily.
The injury involves an eye.
The wound is deep or dirty and the injured person's last tetanus shot was more than five years ago. The doctor may recommend a booster shot."
